id,ltable_ID,rtable_ID,ltable_ENTRYTYPE,ltable_author,ltable_title,ltable_year,rtable_ENTRYTYPE,rtable_author,rtable_title,rtable_year,label
233079,280,1717,inproceedings,"Xiang Lian and
Lei Chen and
Jeffrey Xu Yu",Pattern Matching over Cloaked Time Series,2008,inproceedings,"Lian, Xiang and Chen, Lei and Yu, Jeffrey Xu",Pattern matching over cloaked time series,2008.0,1
171206,226,1673,inproceedings,"Wei Wang and
Haifeng Jiang and
Hongjun Lu and
Jeffrey Xu Yu",PBiTree Coding and Efficient Processing of Containment Joins,2003,inproceedings,"Wang, Wei and Jiang, Haigeng and Lu, Hongjun and Yu, Jeffrey Xu",PBiTree coding and efficient processing of containment joins,2003.0,1
1164222,2431,1373,article,"Line Pouchard and
Andrew Woolf and
David E. Bernholdt",Data Grid discovery and Semantic Web technologies for the earth sciences,2005,article,"Eichmann, David and Srinivas, Kankanaha11i",Neural network-based retrieval from software reuse repositories,1992.0,0
964470,2095,906,article,"Michael I. Jordan and
Zoubin Ghahramani and
Tommi S. Jaakkola and
Lawrence K. Saul",An Introduction to Variational Methods for Graphical Models,1999,book,"Jensen, Christian S and Jeffery, Keith G and Pokorny, Jaroslav and Saltenis, Simonas and Bertino, Elisa and B{\""o}hm, Klemens and Jarke, Matthias","Advances in Database Technology-EDBT 2002: 8th International Conference on Extending Database Technology, Prague, Czech Republic, March 25-27, Proceedings",2003.0,0
1230491,2644,1821,inproceedings,"Riyad Alshammari and
A. Nur Zincir{-}Heywood","Is machine learning losing the battle to produce transportable_table signatures
against VoIP traffic?",2011,inproceedings,"Han, Wook-Shin and Pham, Minh-Duc and Lee, Jinsoo and Kasperovics, Romans and Yu, Jeffrey Xu",iGraph in action: performance analysis of disk-based graph indexing techniques,2011.0,0
107018,164,2387,inproceedings,"Hong{-}Cheu Liu and
Jeffrey Xu Yu",Safe Database Queries with External Functions,1999,incollection,"Yin, Xiaoxin and Han, Jiawei and Yang, Jiong and Philip, S Yu",Crossmine: Efficient classification across multiple database relations,2006.0,0
1114449,2310,1598,inproceedings,"L. R. Grate and
Chiranjib Bhattacharyya and
Michael I. Jordan and
I. Saira Mian","Simultaneous Relevant Feature Identification and Classification in
High-Dimensional Spaces",2002,inproceedings,"Jiang, Haifeng and Lu, Hongjun and Wang, Wei and Yu, Jeffrey Xu",XParent: An efficient RDBMS-based XML database system,2002.0,0
66415,130,2893,article,"Jeffrey Xu Yu and
Xin Yao and Chi{-}Hon Choi and Gang Gou",Materialized view selection as constrained evolutionary optimization,2003,article,"Wu, Kun-Lung and Chen, Shyh-Kwei and Philip, S Yu",Efficient processing of continual range queries for location-aware mobile services,2005.0,0
242305,287,2719,incollection,"Denilson Barbosa and
Ioana Manolescu and
Jeffrey Xu Yu",Application Benchmark,2009,article,"Yang, Jiong and Wang, Haixun and Wang, Wei and Yu, Philip S",An improved biclustering method for analyzing gene expression profiles,2005.0,0
1062581,2234,2221,article,"Emily B. Fox and
Erik B. Sudderth and
Michael I. Jordan and
Alan S. Willsky",Bayesian Nonparametric Inference of Switching Dynamic Linear Models,2011,article,"Fox, Emily and Sudderth, Erik and Jordan, Michael and Willsky, Alan",Bayesian nonparametric inference of switching dynamic linear models,2011.0,1
75119,138,1624,inproceedings,"Junhu Wang and
Jeffrey Xu Yu",XPath Rewriting Using Multiple Views,2008,article,"Yu, Jeffrey Xu and Qin, Lu and Chang, Lijun",Keyword search in databases,2009.0,0
973584,2108,1146,inproceedings,"Lei Xu and
Michael I. Jordan and
Geoffrey E. Hinton",An Alternative Model for Mixtures of Experts,1994,article,"Xu, Lei and Jordan, Michael I and Hinton, Geoffrey E",An alternative model for mixtures of experts,1995.0,0
17133,62,1918,incollection,,Average-Payoff Reinforcement Learning,2010,incollection,"Yang, Zhenglu and Yu, Jeffrey Xu and Liu, Zheng and Kitsuregawa, Masaru",Fires on the web: Towards efficient exploring historical web graphs,2010.0,0
1146777,2380,1298,inproceedings,Sargur N. Srihari,Probabilistic Graphical Models and Machine Learning,2011,article,"Hinton, Geoffrey and Salakhutdinov, Ruslan",Discovering binary codes for documents by learning deep generative models,2011.0,0
190445,242,2494,inproceedings,"Wei Wang and
Haifeng Jiang and
Hongjun Lu and
Jeffrey Xu Yu",Containment Join Size Estimation: Models and Methods,2003,article,"Tong, Hanghang and Papadimitriou, Spiros and Philip, S Yu and Faloutsos, Christos",Proximity Tracking on Time-Evolving Bipartite Graphs.,2008.0,0
379159,633,2024,inproceedings,"Kian{-}Lee Tan and
Jeffrey Xu Yu","A Break for Workaholics: Energy-Efficient Selective Tuning Mechanisms
for Demand-Driven-Based Wireless Environment",1997,incollection,"Tan, Kian-Lee and Yu, JX",A break for workaholics: Energy-efficient selective tuning mechanisms for demand-driven-based wireless environment,1995.0,0
384533,637,2720,article,"Rong{-}Hua Li and
Jeffrey Xu Yu",Efficient Core Maintenance in Large Dynamic Graphs,2012,inproceedings,"Fan, Wei and Greengrass, Ed and McCloskey, Joe and Yu, Philip S and Drammey, K",Effective estimation of posterior probabilities: Explaining the accuracy of randomized decision tree approaches,2005.0,0
229439,277,1751,inproceedings,"Gabriel Pui Cheong Fung and
Jeffrey Xu Yu and
Haixun Wang and
David W. Cheung and
Huan Liu",A Balanced Ensemble Approach to Weighting Classifiers for Text Classification,2006,inproceedings,"Fung, Gabriel Pui Cheong and Yu, Jeffrey Xu and Wang, Haixun and Cheung, David W and Liu, Huan",A balanced ensemble approach to weighting classifiers for text classification,2006.0,1
985822,2123,2306,inproceedings,"John C. Duchi and
Michael I. Jordan and
Martin J. Wainwright",Privacy Aware Learning,2012,inproceedings,"Wainwright, Martin J and Jordan, Michael I and Duchi, John C",Privacy aware learning,2012.0,1
600283,915,2969,article,"Xiaojiang Xu and
Stephen Hoang and
Marty W. Mayo and
Stefan Bekiranov","Application of machine learning methods to histone methylation ChIP-Seq
data reveals H4R3me2 globally represses gene expression",2010,inproceedings,"Jones, Stephen T and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",Geiger: monitoring the buffer cache in a virtual machine environment,2006.0,0
121321,177,1642,inproceedings,"James Cheng and
Yiping Ke and Wilfred Ng and Jeffrey Xu Yu",Context-Aware Object Connection Discovery in Large Graphs,2009,inproceedings,"Cheng, James and Ke, Yiping and Ng, Wilfred and Yu, Jeffrey Xu",Context-aware object connection discovery in large graphs,2009.0,1
850512,1824,1741,incollection,"Marta Franov{\'{a}} and
Yves Kodratoff","Two Examples of Computational Creativity: {ILP} Multiple Predicate
Synthesis and the 'Assets' in Theorem Proving",2010,incollection,"Ning, Bo and Liu, Chengfei and Yu, Jeffrey Xu and Wang, Guoren and Li, Jianxin",Matching top-k answers of twig patterns in probabilistic XML,2010.0,0
146436,201,2052,inproceedings,"Lijun Chang and
Xuemin Lin and
Lu Qin and
Jeffrey Xu Yu and
Wenjie Zhang","Index-based Optimal Algorithms for Computing Steiner Components with
Maximum Connectivity",2015,inproceedings,"Chang, Lijun and Lin, Xuemin and Qin, Lu and Yu, Jeffrey Xu and Zhang, Wenjie",Index-based Optimal Algorithms for Computing Steiner Components with Maximum Connectivity,2015.0,1
785110,1593,2798,article,F. J. Smith,Adding intelligence to a scientific database,2004,misc,"Yu, Philip Shi-lung and Greene, David P and Stern, Edith H and Willner, Barry E",Systems and methods for distributing information to an operator of a vehicle,2004.0,0
264343,330,2397,inproceedings,"Haiping Wu and
Hongliang Yu and
Bigang Li and
Wei Xue and
Weimin Zheng",A Database Redo Log System Based on Virtual Memory Disk,2006,misc,"Aggarwal, Charu C and Philip, S Yu",Content based method for product-peer filtering,2002.0,0
382587,636,1706,article,"Kian{-}Lee Tan and
Jeffrey Xu Yu",A Dynamic Scheduler for the Infinite Air-Cache,1997,article,"Tan, Kian-Lee and Jeffrey, X Yu",A dynamic scheduler for the infinite air-cache,1997.0,1
46277,114,1979,article,"Rong{-}Hua Li and
Jeffrey Xu Yu and Xin Huang and Hong Cheng",A Framework of Algorithms: Computing the Bias and Prestige of Nodes in Trust Networks,2012,article,"Li, Rong-Hua and Yu, Jeffrey Xu and Huang, Xin and Cheng, Hong",A framework of algorithms: Computing the bias and prestige of nodes in trust networks,2012.0,1
215371,265,2785,article,"Rong{-}Hua Li and
Jeffrey Xu Yu and
Zechao Shang",Estimating Node Influenceability in Social Networks,2012,article,"Chen, Ming-Syan and Yu, Philip S",A graph theoretical approach to determine a join reducer sequence in distributed query processing,1994.0,0
1288006,2854,2021,inproceedings,"Xiaoyuan Su and
Russell Greiner and
Taghi M. Khoshgoftaar and
Amri Napolitano",Using Classifier-Based Nominal Imputation to Improve Machine Learning,2011,inproceedings,"Liu, Jianquan and Chen, Hanxiong and Furuse, Kazutaka and Kitagawa, Hiroyuki and Yu, Jeffrey Xu",On efficient distance-based similarity search,2011.0,0
998022,2140,1276,article,"Barzan Mozafari and
Purnamrita Sarkar and
Michael J. Franklin and
Michael I. Jordan and
Samuel Madden",Active Learning for Crowd-Sourced Databases,2012,article,"Kienker, Paul K and Sejnowski, Terrence J and Hinton, Geoffrey E and Schumacher, Lee E",Separating figure from ground with a parallel network,1986.0,0
95232,154,2537,article,Jianxin Li and Chengfei Liu and Rui Zhou and Jeffrey Xu Yu,"Query-Driven Frequent Co-Occurring Term Computation over Relational
Data Using MapReduce",2015,inproceedings,"Pei, Jian and Zhang, Xiaoling and Cho, Moonjung and Wang, Haixun and Yu, Philip S",Maple: A fast algorithm for maximal pattern-based clustering,2003.0,0
966668,2097,2650,inproceedings,"Tommi S. Jaakkola and
Lawrence K. Saul and
Michael I. Jordan",Fast Learning by Bounding Likelihoods in Sigmoid Type Belief Networks,1995,article,"Xing, Zhengzheng and Pei, Jian and Philip, S Yu and Wang, Ke",Extracting Interpretable Features for Early Classification on Time Series.,2011.0,0
772644,1546,2616,article,Tong Zhang,Analysis of Multi-stage Convex Relaxation for Sparse Regularization,2010,article,"Philip, S Yu and Wolf, Joel L and Shachnai, Hadas",Design and analysis of a look-ahead scheduling scheme to support pause-resume for video-on-demand applications,1995.0,0
552351,778,2412,article,"Baichen Chen and
Weifa Liang and
Jeffrey Xu Yu",Energy-efficient skyline query optimization in wireless sensor networks,2012,article,"Cardellini, Valeria and Colajanni, Michele and Philip, S Yu",Dynamic load balancing on web-server systems,1999.0,0
864936,1882,234,incollection,"Eric Pardede and
J. Wenny Rahayu and
David Taniar",New {SQL} Standard in Database Modeling,2005,article,"Li, Wei and McCallum, Andrew",Semi-supervised sequence modeling with syntactic topic models,2005.0,0
503139,738,1708,inproceedings,"Miao Qiao and
Hong Cheng and
Jeffrey Xu Yu",Querying Shortest Path Distance with Bounded Errors in Large Graphs,2011,incollection,"Qiao, Miao and Cheng, Hong and Yu, Jeffrey Xu",Querying shortest path distance with bounded errors in large graphs,2011.0,0
1126250,2326,2776,inproceedings,"Christopher M. Bishop and
Neil D. Lawrence and
Tommi S. Jaakkola and
Michael I. Jordan",Approximating Posterior Distributions in Belief Networks Using Mixtures,1997,inproceedings,"Li, Xin and Liu, Bing and Philip, S Yu",Mining Community Structure of Named Entities from Web Pages and Blogs.,2006.0,0
82762,144,1823,inproceedings,"Junhu Wang and
Jeffrey Xu Yu and Chengfei Liu",Contained Rewritings of XPath Queries Using Views Revisited,2008,incollection,"Wang, Junhu and Yu, Jeffrey Xu and Liu, Chengfei",Contained rewritings of XPath queries using views revisited,2008.0,1
513317,746,1803,inproceedings,"Junhu Wang and
Jeffrey Xu Yu",On Maximal Contained Rewriting of Tree Pattern Queries Using Views,2010,article,"Li, Jianxin and Liu, Chengfei and Zhou, Rui and Yu, Jeffrey Xu",Quasi-SLCA based Keyword Query Processing over Probabilistic XML Data,2014.0,0
1134704,2338,2139,inproceedings,"Xinghao Pan and
Stefanie Jegelka and
Joseph E. Gonzalez and
Joseph K. Bradley and
Michael I. Jordan",Parallel Double Greedy Submodular Maximization,2014,inproceedings,"Lacoste-Julien, Simon and Sha, Fei and Jordan, Michael I",DiscLDA: Discriminative learning for dimensionality reduction and classification,2009.0,0
953772,2079,2279,inproceedings,"Donglin Niu and
Jennifer G. Dy and
Michael I. Jordan",Multiple Non-Redundant Spectral Clustering Views,2010,inproceedings,"Niu, Donglin and Dy, Jennifer G and Jordan, Michael I",Multiple non-redundant spectral clustering views,2010.0,1
985292,2123,198,inproceedings,"John C. Duchi and
Michael I. Jordan and
Martin J. Wainwright",Privacy Aware Learning,2012,book,"Garrett, William E and Bianchini, LI and Kontothanassis, LI and McCallum, R Andrew and Thomas, Jeffery and Wisniewski, Robert and Scott, Michael L",Dynamic sharing and backward compatibility on 64-bit machines,1992.0,0
998529,2141,264,inproceedings,"Gert R. G. Lanckriet and
Nello Cristianini and
Peter L. Bartlett and
Laurent El Ghaoui and
Michael I. Jordan",Learning the Kernel Matrix with Semi-Definite Programming,2002,article,"Ganchev, Kuzman and Crammer, Koby and Pereira, Fernando and Mann, Gideon and Bellare, Kedar and McCallum, Andrew and Carroll, Steve and Jin, Yang and White, Peter",Penn/umass/chop biocreative ii systems,2007.0,0
784395,1590,3010,article,"Shabana Vohra and
Benjamin A. Hall and
Daniel A. Holdbrook and
Syma Khalid and
Philip C. Biggin","Bookshelf: a simple curation system for the storage of biomolecular
simulation data",2010,article,"Krioukov, Andrew and Bairavasundaram, Lakshmi N and Goodson, Garth R and Srinivasan, Kiran and Thelen, Randy and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",Parity Lost and Parity Regained.,2008.0,0
182355,236,1664,inproceedings,"Yang Zhou and
Hong Cheng and
Jeffrey Xu Yu",Clustering Large Attributed Graphs: An Efficient Incremental Approach,2010,inproceedings,"Zhou, Yang and Cheng, Hong and Yu, Jeffrey Xu",Clustering large attributed graphs: An efficient incremental approach,2010.0,1
368265,624,1829,inproceedings,"Weifa Liang and
Chris Johnson and
Jeffrey Xu Yu","Maintaining Materialized Views for Data Warehouses with Multiple Remote
Sources",2000,incollection,"Liang, Weifa and Johnson, Chris and Jeffrey, X Yu",Maintaining materialized views for data warehouses with multiple remote sources,2000.0,0
749394,1466,249,article,"Virginia R. de Sa and
Patrick W. Gallagher and
Joshua M. Lewis and
Vicente L. Malave",Multi-view kernel construction,2010,book,"McCallum, R Andrew",Learning with incomplete selective perception,1993.0,0
455851,697,2017,inproceedings,"Di Wu and
Gabriel Pui Cheong Fung and
Jeffrey Xu Yu and
Zheng Liu",Integrating Multiple Data Sources for Stock Prediction,2008,article,"DINH, Thi Huong and SUN, Bin and YU, Jia and L{\""u}, Hong-xing",Study on Hydraulic Jump Characteristics of Airfoil-shaped Measuring Flume in U-shaped Channel,2012.0,0
627596,1016,1836,article,"Ali Faisal and
Frank Dondelinger and
Dirk Husmeier and
Colin M. Beale","Inferring species interaction networks from species abundance data:
{A} comparative evaluation of various statistical and machine learning
methods",2010,article,"Li, Rong-Hua and Yu, Jeffrey Xu and Huang, Xin and Cheng, Hong and Shang, Zechao",Measuring the impact of MVC attack in large complex networks,2014.0,0
922180,2027,2238,article,"XuanLong Nguyen and
Martin J. Wainwright and
Michael I. Jordan","Estimating Divergence Functionals and the Likelihood Ratio by Convex
Risk Minimization",2010,article,"Nguyen, XuanLong and Wainwright, Martin J and Jordan, Michael and others",Estimating divergence functionals and the likelihood ratio by convex risk minimization,2010.0,1
28002,99,2300,inproceedings,Jeffrey Xu Yu,Exploring research issues over large graphs,2012,article,"Kleiner, Ariel and Talwalkar, Ameet and Sarkar, Purnamrita and Jordan, Michael",The big data bootstrap,2012.0,0
429040,674,1959,article,"Baichuan Li and
Rong{-}Hua Li and
Irwin King and
Michael R. Lyu and
Jeffrey Xu Yu",A topic-biased user reputation model in rating systems,2015,article,"Li, Baichuan and Li, Rong-Hua and King, Irwin and Lyu, Michael R and Yu, Jeffrey Xu",A topic-biased user reputation model in rating systems,2014.0,0
37734,107,1946,article,"Miao Qiao and Hong Cheng and Lu Qin and Jeffrey Xu Yu and
Philip S. Yu and Lijun Chang",Computing weight constraint reachability in large networks,2013,article,"Qiao, Miao and Cheng, Hong and Qin, Lu and Yu, Jeffrey Xu and Yu, Philip S and Chang, Lijun",Computing weight constraint reachability in large networks,2013.0,1
932415,2044,2131,inproceedings,"David M. Blei and
Andrew Y. Ng and
Michael I. Jordan",Latent Dirichlet Allocation,2001,inproceedings,"Blei, David M and Ng, Andrew Y and Jordan, Michael I",Latent dirichlet allocation,2001.0,1
189874,242,1657,inproceedings,"Wei Wang and
Haifeng Jiang and
Hongjun Lu and
Jeffrey Xu Yu",Containment Join Size Estimation: Models and Methods,2003,inproceedings,"Wang, Wei and Jiang, Haifeng and Lu, Hongjun and Yu, Jeffrey Xu",Containment join size estimation: Models and methods,2003.0,1
938243,2054,2299,inproceedings,Michael I. Jordan,A Statistical Approach to Decision Tree Modeling,1994,inproceedings,"Jordan, Michael I",A statistical approach to decision tree modeling,1994.0,1
330883,570,967,proceedings,,"Advances in Spatial and Temporal Databases, 9th International Symposium, {SSTD} 2005, Angra dos Reis, Brazil, August 22-24, 2005, Proceedings",2005,incollection,"Bertino, Elisa",Purpose based access control for privacy protection in database systems,2005.0,0
43855,112,1904,inproceedings,"Lijun Chang and Jeffrey Xu Yu and Lu Qin and
Xuemin Lin",Probabilistic ranking over relations,2010,inproceedings,"Chang, Lijun and Yu, Jeffrey Xu and Qin, Lu and Lin, Xuemin",Probabilistic ranking over relations,2010.0,1
64795,129,2457,article,Yajun Yang and Hong Gao and Jeffrey Xu Yu and Jianzhong Li,"Finding the Cost-Optimal Path with Time Constraint over Time-Dependent
Graphs",2014,article,"Chen, Ming-Syan and Wu, Kun-Lung and Yu, Philip S",Optimizing index allocation for sequential data broadcasting in wireless mobile computing,2003.0,0
367434,623,2463,article,"Di Wu and
Yiping Ke and
Jeffrey Xu Yu and
Philip S. Yu and
Lei Chen",Leadership discovery when data correlatively evolve,2011,article,"Aggarwal, Charu C and Yu, Philip S",A survey of uncertain data algorithms and applications,2009.0,0
494858,731,1712,article,"James Cheng and
Yiping Ke and
Ada Wai{-}Chee Fu and
Jeffrey Xu Yu",Fast graph query processing with a low-cost index,2011,article,"Cheng, James and Ke, Yiping and Fu, Ada Wai-Chee and Yu, Jeffrey Xu",Fast graph query processing with a low-cost index,2011.0,1
953208,2078,2367,inproceedings,"Daniel Ting and
Ling Huang and
Michael I. Jordan",An Analysis of the Convergence of Graph Laplacians,2010,article,"Ting, Daniel and Huang, Ling and Jordan, Michael",An analysis of the convergence of graph Laplacians,2011.0,0
780194,1575,2929,proceedings,,"New Horizons in Information Management, 20th British National Conference
on Databases, {BNCOD} 20, Coventry, UK, July 15-17, 2003, Proceedings",2003,inproceedings,"Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H and Burnett, Nathan C and Denehy, Timothy E and Engle, Thomas J and Gunawi, Haryadi S and Nugent, James A and Popovici, Florentina I",Transforming policies into mechanisms with infokernel,2003.0,0
544769,772,1669,inproceedings,"Ke Wang and
Yabo Xu and
Jeffrey Xu Yu",Scalable sequential pattern mining for biological sequences,2004,inproceedings,"Wang, Ke and Xu, Yabo and Yu, Jeffrey Xu",Scalable sequential pattern mining for biological sequences,2004.0,1
1036141,2194,2173,inproceedings,"Ben Liblit and
Mayur Naik and
Alice X. Zheng and
Alexander Aiken and
Michael I. Jordan",Scalable statistical bug isolation,2005,inproceedings,"Liblit, Ben and Naik, Mayur and Zheng, Alice X and Aiken, Alex and Jordan, Michael I",Scalable statistical bug isolation,2005.0,1
164822,219,1696,article,"Jun Gao and
Ruoming Jin and
Jiashuai Zhou and
Jeffrey Xu Yu and
Xiao Jiang and
Tengjiao Wang",Relational Approach for Shortest Path Discovery over Large Graphs,2012,article,"Gao, Jun and Jin, Ruoming and Zhou, Jiashuai and Yu, Jeffrey Xu and Jiang, Xiao and Wang, Tengjiao",Relational approach for shortest path discovery over large graphs,2011.0,0
819171,1722,507,proceedings,,"Data Warehousing and Knowledge Discovery, 6th International Conference, DaWaK 2004, Zaragoza, Spain, September 1-3, 2004, Proceedings",2004,inproceedings,"Bertino, Elisa and Damiani, Maria Luisa and Momini, Davide",An access control system for a web map management service,2004.0,0
396657,647,1969,inproceedings,"Junhu Wang and
Jeffrey Xu Yu and
Chaoyi Pang and
Chengfei Liu",Minimal common container of tree patterns,2009,inproceedings,"Wang, Junhu and Yu, Jeffrey Xu and Pang, Chaoyi and Liu, Chengfei",Minimal common container of tree patterns,2009.0,1
943724,2064,2095,article,"Guillaume Obozinski and
Ben Taskar and
Michael I. Jordan","Joint covariate selection and joint subspace selection for multiple
classification problems",2010,article,"Obozinski, Guillaume and Taskar, Ben and Jordan, Michael I",Joint covariate selection and joint subspace selection for multiple classification problems,2010.0,1
1031766,2188,2335,inproceedings,"Jens Nilsson and
Fei Sha and
Michael I. Jordan",Regression on manifolds using kernel dimension reduction,2007,inproceedings,"Nilsson, Jens and Sha, Fei and Jordan, Michael I",Regression on manifolds using kernel dimension reduction,2007.0,1
516968,749,1783,inproceedings,"Di Wu and
Yiping Ke and
Jeffrey Xu Yu and
Philip S. Yu and
Lei Chen",Detecting Leaders from Correlated Time Series,2010,incollection,"Wu, Di and Ke, Yiping and Yu, Jeffrey Xu and Philip, S Yu and Chen, Lei",Detecting leaders from correlated time series,2010.0,0
987075,2125,2098,article,"Barbara E. Engelhardt and
Michael I. Jordan and
Kathryn E. Muratore and
Steven E. Brenner",Protein Molecular Function Prediction by Bayesian Phylogenomics,2005,article,"Engelhardt, Barbara E and Jordan, Michael I and Muratore, Kathryn E and Brenner, Steven E",Protein molecular function prediction by Bayesian phylogenomics,2005.0,1
209942,261,1781,inproceedings,"Zechao Shang and
Jeffrey Xu Yu",Catch the Wind: Graph workload balancing on cloud,2013,inproceedings,"Shang, Zechao and Yu, Jeffrey Xu",Catch the wind: Graph workload balancing on cloud,2013.0,1
525345,756,1622,inproceedings,"Jeffrey Xu Yu and
Zhihong Chong and
Hongjun Lu and
Aoying Zhou","False Positive or False Negative: Mining Frequent Itemsets from High
Speed Transactional Data Streams",2004,inproceedings,"Yu, Jeffery Xu and Chong, Zhihong and Lu, Hongjun and Zhou, Aoying",False positive or false negative: mining frequent itemsets from high speed transactional data streams,2004.0,1
347070,607,1641,article,"James Cheng and
Yiping Ke and
Ada Wai{-}Chee Fu and
Jeffrey Xu Yu and
Linhong Zhu",Finding maximal cliques in massive networks,2011,article,"Cheng, James and Ke, Yiping and Fu, Ada Wai-Chee and Yu, Jeffrey Xu and Zhu, Linhong",Finding maximal cliques in massive networks,2011.0,1
1120302,2318,2304,inproceedings,"Purnamrita Sarkar and
Deepayan Chakrabarti and
Michael I. Jordan",Nonparametric Link Prediction in Dynamic Networks,2012,article,"Sarkar, Purnamrita and Chakrabarti, Deepayan and Jordan, Michael",Nonparametric link prediction in dynamic networks,2012.0,0
1028613,2183,2262,inproceedings,"Francis R. Bach and
Michael I. Jordan",Learning Graphical Models with Mercer Kernels,2002,inproceedings,"Bach, Francis R and Jordan, Michael I",Learning graphical models with Mercer kernels,2002.0,1
